ID;ACCOUNT;CONTACT_EMAIL;CONTACT_FULL_NAME;CONTACT_PHONE;CONTACT_POSITION;COUNTRY_NAME;EMAIL;FAX;KIO;LEGAL_ADDRESS;LEGAL_PERSON_EN_NAME;LEGAL_PERSON_SHORT_EN_NAME;OPF_NAME;LEGAL_PERSON_SHORT_NAME;LEI;PHONE;OKPO;POST_ADDRESS;STREET_ADDRESS;WEB_SITE;INN;KPP;OGRN;REG_DATE;COUNTERPARTY_ID
1;"01000132561900191816";"example@gmail.com";"Иванов Иван Иванович";"+7 (900) 900-00-00";"Генеральный директор";null;"email@gmail.com";"+7 (495) 100-10-10";"12144";"г.Новосибирск, ул.Советская, 37";"BrokerCreditService Ltd";"BCS Ltd";null;"ООО «Компания БКС»";"24399457";"+7 (495) 500-50-50";null;"630099";"г.Москва, Проспект Мира, 69, строение 1";"www.example.com";"8315052991";"350345880";"2082648563424";"2017-07-08 18:39:25.000000";1
2;"01000132561900193214";"example@gmail.com";"Иванов Иван Иванович";"+7 (900) 900-00-00";"Генеральный директор";null;"email@gmail.com";"+7 (495) 100-10-10";"22669";"г.Санкт-Петербург, Новоизмайловский проспект,дом 46,корпус 2";"Joint Stock Company ""Elby""";"JSC LB";null;"АО ""ЭЛБИ""";"59452048";"+7 (812) 655-50-05";null;"196191";"г.Санкт-Петербург, Новоизмайловский проспект,дом 46,корпус 2";"www.example.com";"1880390805";"588945237";"8153748242310";"2017-07-08 18:39:25.000000";2
3;"01000132561900191818";"example@gmail.com";"Иванов Иван Иванович";"+7 (900) 900-00-00";"Генеральный директор";null;"email@gmail.com";"+7 (495) 100-10-10";"00240";"г.Москва, ул. Лесная, д. 5";"""BNP PARIBAS Bank"" Joint stock company";"""BNP PARIBAS BANK"" JSC.""";null;"""БНП ПАРИБА БАНК"" АО";"58986098";"+7 (495) 500-50-50";null;"125047";"г.Москва, ул. Лесная, д. 5";"www.example.com";"3699998618";"077543367";"1058414556881";"2017-07-08 18:39:25.000000";3
4;"01000132561900191819";"example@gmail.com";"Иванов Иван Иванович";"+7 (900) 900-00-00";"Генеральный директор";null;"email@gmail.com";"+7 (495) 100-10-10";"09641";"г.Москва,Старокаширское шоссе, д. 2, корп. 1, стр. 1";"""INTERPROGRESSBANK"" (Joint-stock company)";"Bank IPB (JSC)";null;"Банк ИПБ (АО)";"63712346";"+7 (495) 500-50-50";null;"115201";"г.Москва,Старокаширское шоссе, д. 2, корп. 1, стр. 1";"www.example.com";"4722068439";"295845887";"2160843877544";"2017-07-08 18:39:25.000000";4
5;"01000132561900191820";"example@gmail.com";"Иванов Иван Иванович";"+7 (900) 900-00-00";"Генеральный директор";null;"email@gmail.com";"+7 (495) 100-10-10";"00182";"г.Москва, ул. Рочдельская, 14, стр. 1";"""The Bank "" IBA-MOSCOW"" Limited liability company";"""The Bank ""IBA-MOSCOW"" LLC";null;"""Банк ""МБА-МОСКВА"" ООО";"34556745";"+7 (495) 500-50-50";null;"123022";"г.Москва, ул. Рочдельская, д. 14, стр. 1";"www.example.com";"0357978444";"437144001";"5133757918663";"2017-07-08 18:39:25.000000";5
6;"01000132561900191614";"example@gmail.com";"Иванов Иван Иванович";"+7 (900) 900-00-00";"Генеральный директор";null;"email@gmail.com";"+7 (495) 100-10-10";"33104";"г.Санкт-Петербург, ул. Садовая, д.12/23";"Stock company Saint-Petersburg Currency Exchange";"SPCEX SC";null;"АО СПВБ";"45645712";"+7 (812) 500-50-50";null;"191023";"г.Санкт-Петербург, ул. Садовая, д.12/23";"www.example.com";"6316222811";"765043449";"8096085900617";"2017-07-08 18:39:25.000000";6
7;"01000132561900191616";"example@gmail.com";"Иванов Иван Иванович";"+7 (900) 900-00-00";"Генеральный директор";null;"email@gmail.com";"+7 (495) 100-10-10";"53284";"г.Москва, ул. Летниковская, д. 2, стр.4";"Limited liability company «OTKRITIE Trading»";"«OTKRITIE Trading» LLC";null;"ООО «ОТКРЫТИЕ Трейдинг»";"45643610";"+7 (495) 500-50-50";null;"115114";"г.Москва, ул. Летниковская, д. 2, стр.4";"www.example.com";"3542725274";"263443396";"1135043432578";"2017-07-08 18:39:25.000000";7
8;"01000132561900191814";"example@gmail.com";"Иванов Иван Иванович";"+7 (900) 900-00-00";"Генеральный директор";null;"email@gmail.com";"+7 (495) 100-10-10";"17065";"г.Москва, ул.Летниковская, д.2 стр.4";"Otkritie Broker Joint Stock Company";"Otkritie Broker JSC";null;"АО ""Открытие Брокер""";"45643262";"+7 (495) 500-50-50";null;"115114";"г.Москва, ул.Летниковская, д.2 стр.4.";"www.example.com";"4489284591";"298045520";"6155033417401";"2017-07-08 18:39:25.000000";8
9;"01000132561900191616";"example@gmail.com";"Иванов Иван Иванович";"+7 (900) 900-00-00";"Генеральный директор";null;"email@gmail.com";"+7 (495) 100-10-10";"68098";"Санкт-Петербург, ул. Большая Пушкарская, дом 22, литера А, помещение 1-Н, комната 94";"Peterburg-Invest Joint Stock Company";"Peterburg-Invest JSC";null;"АО ""Петербург - Инвест""";"45665412";"+7 (812) 500-50-50";null;"197198";"г.Санкт-Петербург, Петроградский, ул. Большая Пушкарская, д.22, литера А, помещение 1-Н, комната 94";"www.example.com";"6548887904";"240545090";"9034747895701";"2017-07-08 18:39:25.000000";9
10;"01000132561900192020";"example@gmail.com";"Иванов Иван Иванович";"+7 (900) 900-00-00";"Генеральный директор";null;"email@gmail.com";"+7 (495) 100-10-10";"00421";"г.Москва, Серебряническая набережная, дом 29";"Industrial and Commrecial Bank of China Limited";"ICBC";null;"АйСиБиСи Банк (АО)";"83086298";"+7 (495) 500-50-50";null;"109028";"г.Москва, Серебряническая набережная, д.29";"www.example.com";"3334676940";"698045431";"1027592992790";"2017-07-08 18:39:25.000000";10
